,yanjiu,liangyou,yinliao,huazhuang,zhubao,qiuqi,shu,jiadian,wenju,tongxun,jiaju,riyong,yaopin,shiyou,zhuangxiu,qiche,yifu
01/2005,5060,3023.962,2200,2710,2350,980,1940,14770,2700,3410,920,5710,8990,17900,1070,22880,20140
02/2005,6720,3194.067,2710,2850,2620,970,2400,12270,2490,3610,790,6110,8030,15310,840,18240,19520
03/2005,4270,2738.447,1890,2640,2340,890,4020,10590,2620,3270,820,5500,8760,20000,1040,23070,14740
04/2005,3920,2515.874,1850,2470,1870,870,3250,10930,2550,2970,880,5130,9190,21660,1010,25450,13910
05/2005,4030,2647.058,1980,2490,2180,940,2520,14490,2970,3610,830,5530,9190,22730,1120,24110,15000
06/2005,3950,2585.497,2020,2440,1840,870,2320,14530,2870,3230,920,5420,8860,23290,1170,26980,13730
07/2005,3940,2655.173,2310,2360,1740,980,1880,14740,3360,3660,1080,5620,9010,24300,1260,27850,13080
08/2005,4000,2809.873,2320,2470,1800,1000,2110,12010,3600,3690,1030,5930,9270,26920,1440,26240,13500
09/2005,4970,3191.136,2520,2760,2030,1060,4180,11570,3570,3880,1090,6170,9660,27560,1320,26790,14690
10/2005,4440,2980.32,2240,3010,2070,1160,4510,15160,3680,4600,1160,6320,9510,29100,1480,27650,18230
11/2005,3980,2948.483,1960,3130,1970,1030,4290,11650,3510,3940,1090,6140,9790,27700,1460,28130,18690
12/2005,4760,3680.046,2120,3560,2420,1160,3800,15070,4160,4330,1420,7040,10740,28530,1730,36110,23830
01/2006,8180,4461.603,3230,3670,3290,1340,2220,19170,3520,5130,1230,7800,10510,26650,1240,32190,28080
02/2006,6230,3459.797,2670,2970,2990,1070,3260,13800,3480,4480,1010,6800,9090,27340,1070,27480,19050
03/2006,4770,3151.636,2070,3160,2550,1120,4150,12990,3860,4680,1150,6770,9720,31360,1550,34150,18040
04/2006,4590,3091.116,2130,2960,2530,1020,4160,13480,3400,4220,1070,6250,10170,32700,1490,34710,16920
05/2006,5090,3165.91,2350,3040,2790,1200,3000,19050,3540,4720,1250,6620,9630,34860,1370,33470,18790
06/2006,4690,3105.017,2380,2960,2220,1100,2510,17610,3740,4070,1260,6560,9390,35160,1480,34240,16990
07/2006,4470,3141.308,2630,2760,2180,1160,2240,16870,3870,4400,1440,6660,9730,36050,1610,31800,15940
08/2006,4680,3350.466,2820,2880,2440,1200,2410,14860,4250,4680,1440,6930,9810,37860,1770,33840,16280
09/2006,5420,3788.707,2700,3280,2630,1210,4460,13760,4150,4650,1620,7060,10200,38110,1730,36370,18690
10/2006,5660,3769.226,2730,3610,3010,1270,4560,19220,4180,5610,1610,7590,10330,39390,1930,35340,21560
11/2006,4960,3737.208,2260,3520,2790,1120,4060,14430,4290,4820,1490,7110,10480,38610,1800,37190,22860
12/2006,5510,4541.432,2400,3820,3030,1280,4620,16860,5220,4750,1760,7920,11320,38390,1860,45400,27560
01/2007,6650,22490,2730,3870,3820,1250,2740,20180,4100,5180,1640,8150,12050,37480,1580,47600,28810
02/2007,10930,29750,4070,4370,4920,1570,2690,19920,4070,5690,1500,9800,11600,31840,1480,40900,31470
03/2007,6650,22140,2950,4000,3440,1280,4730,15580,4100,4930,1510,8420,11940,36560,1800,41590,22730
04/2007,5810,20120,2840,3690,3310,1230,3850,15230,4310,4480,1640,7710,12390,39250,1960,48120,20700
05/2007,5680,21260,3060,3960,3830,1490,3420,24480,4470,5180,1770,8340,12190,40860,2230,44930,23200
06/2007,5890,21240,3140,3760,3180,1300,3250,20680,4760,4810,1920,8440,12250,41150,2560,45560,20570
07/2007,5590,21660,3180,3360,3180,1430,2600,19910,4940,4670,1890,8350,12210,41930,2240,45380,19900
08/2007,5740,22890,3330,3560,3730,1560,2590,17710,5090,4930,1870,8750,12400,43710,2250,48150,20460
09/2007,7360,25960,3480,4110,3990,1630,5420,16740,5100,5070,2140,9420,13640,44300,2610,50230,22810
10/2007,7020,25470,3300,4760,4140,1720,4880,25080,5270,6090,2280,9670,12940,46400,2750,48080,28580
11/2007,6330,24800,2970,4700,3880,1480,4600,18390,5090,5080,2380,9340,13300,47160,2820,50210,29500
12/2007,7150,27350,3150,4690,4540,1690,4670,23180,6960,5370,2810,10120,13710,51460,2890,59640,33660
01/2008,10690,30620,3620,4940,6370,1660,2540,25640,5560,5580,2120,10450,14990,50500,1680,66430,38840
02/2008,12170,36080,4720,5310,6470,1810,3510,22000,4730,5870,1830,11300,11790,46880,1070,51930,35930
03/2008,7950,26700,3430,4720,5150,1490,3850,20570,5550,4940,2250,9770,13850,53690,1950,59940,28420
04/2008,7290,25380,3380,4440,4670,1620,3710,19370,5570,4500,2250,9370,14200,57080,1930,60490,26620
05/2008,7360,25960,3820,4650,4950,1680,3730,27090,5590,5310,2430,9850,14440,58220,2430,59320,28320
06/2008,7390,26350,3800,4590,4800,1550,3490,22670,5560,5120,2410,9900,14190,61810,2320,60410,26400
07/2008,7240,25970,4000,4430,4560,1690,2860,23650,5740,4960,2260,9970,14200,65060,2160,57990,25380
08/2008,7430,26850,4170,4510,5390,1720,3200,21010,5770,5150,2320,10570,13780,65310,2040,57310,26110
09/2008,9370,29550,4350,5280,5400,1820,4930,21810,5930,5460,2540,11110,15330,64460,2050,58650,29200
10/2008,8190,28290,4010,5460,5410,1760,4910,25270,6150,5660,2570,10870,14850,64830,2340,57520,33920
11/2008,7700,27530,3570,5460,5090,1540,5030,19770,5730,4540,2760,10370,15190,57160,1900,54070,36630
12/2008,9200,30690,3800,5850,5450,1630,5600,21930,7030,4940,2990,11210,16120,57680,2030,70460,41780
01/2009,15740,43370,5740,6420,8530,2340,2960,29840,6410,5610,2440,14110,17050,51980,2490,78210,52340
02/2009,10780,33430,4620,5510,6810,1740,4230,20000,6020,4990,2630,12290,16170,48360,2430,70720,34390
03/2009,8400,30250,3930,5910,5760,1710,4550,21730,6410,5110,2770,11750,16810,54120,3040,82020,32120
04/2009,7980,29240,4180,5450,5630,1780,4220,20760,6070,4320,3110,11430,17560,58420,3150,88090,31690
05/2009,8500,31650,4670,5880,6950,2000,4030,31120,6500,5320,3710,12500,18110,63480,3770,90590,35680
06/2009,8540,30060,4710,5580,5870,1780,4080,26020,6720,5090,3560,12970,18630,66020,4170,97920,32840
07/2009,8000,30990,5090,5540,5810,2020,3030,27010,6840,5330,3650,12640,18010,68440,3900,95910,31240
08/2009,8030,32900,5060,5920,6780,2030,3200,24460,7380,5610,3630,13580,19260,73460,4010,97350,32430
09/2009,9970,35270,5340,6520,6650,1990,4820,25650,7500,5870,3900,13920,21440,73180,3980,104100,35420
10/2009,9650,36030,5170,7080,7540,2210,5660,34960,7730,6030,4420,14480,19320,74000,4590,102620,42630
11/2009,8740,33630,4640,6860,6330,1960,5640,25370,7720,5170,4430,13780,19920,72220,4560,109560,47630
12/2009,9920,36760,4900,7310,7970,2050,7400,28150,9340,5500,4690,15330,21810,77410,4700,136550,52650
01/2010,13970,37360,5050,7020,10510,2130,3470,35170,8780,6140,4680,14890,21380,75430,4330,127310,55190
02/2010,18220,49260,7040,7380,11470,2360,3450,28660,7080,6700,4010,16820,19400,65690,3270,101440,55340
03/2010,11020,34730,5030,7310,8940,2200,5560,25870,8960,5610,4510,15590,23360,77180,4510,119600,40440
04/2010,10520,34550,5070,6710,8290,2270,5160,28950,8920,5430,4630,14760,23780,82760,4880,128180,38670
05/2010,11230,36570,5630,7000,11040,2510,4850,39430,8290,6480,5650,16750,25030,86970,6170,132430,43480
06/2010,12130,37610,6040,6820,9230,2370,5490,32580,9150,6080,5660,15650,24340,86570,6500,131590,41260
07/2010,11250,36560,6250,6570,9020,2410,3770,34330,9020,5950,5870,16700,24270,86930,5990,134010,38810
08/2010,12180,39500,6670,6780,10230,2440,4140,31710,9530,7020,6190,16970,25460,89140,6460,140450,39860
09/2010,16130,46740,7300,7770,10900,2630,5690,33370,10070,6870,6480,18330,27930,93670,7500,147970,45900
10/2010,14040,45610,6710,8230,12400,2900,5990,43660,10410,7620,7380,19240,26320,96640,8210,143610,58080
11/2010,13940,45250,6550,8010,11550,2470,7040,31650,10160,6700,7080,17580,28050,96420,8440,156850,59580
12/2010,15910,51030,7750,9240,12390,3080,8280,39630,11820,8440,8090,19710,28520,101390,9120,200850,69740
01/2011,23220,60990,8160,9340,17170,3170,3950,47650,11050,8410,7370,22510,29760,100440,7300,160730,81190
02/2011,20870,58520,8670,8400,17630,2820,4570,33810,9130,7980,6660,20820,24420,94030,6770,120290,63420
03/2011,15500,51360,7350,9260,14460,2800,6510,36640,10970,7430,8300,20940,28160,115280,9280,162400,54630
04/2011,15110,49610,7530,8520,13790,2820,6190,41220,10500,7450,8250,20350,28890,120870,9480,166840,55100
05/2011,15820,52970,8000,8780,15170,2960,6000,49620,12100,8260,9290,21310,29880,126370,10860,167520,58890
06/2011,17510,56140,8700,8600,13540,2980,7160,43150,13270,8820,9730,22540,30750,122640,11900,170050,57500
07/2011,16460,53820,8750,8330,13150,2980,4850,44960,13390,9160,9810,22160,29490,123660,11510,163820,54240
08/2011,17590,55940,8790,8290,14990,2930,5290,40330,14260,9340,9760,23190,31330,126680,11780,174570,53450
09/2011,21820,63510,9200,9630,15230,3060,7160,44510,16380,9560,10510,24760,34640,128550,13030,190150,64540
10/2011,19710,61660,8960,10010,16060,3410,7460,53430,16030,9930,11790,24920,32550,130320,14430,174570,75040
11/2011,20010,62660,9300,9860,14240,3070,8470,44010,16270,9580,12120,25090,34250,125330,15240,189690,80500
12/2011,24290,72120,10400,11130,17980,3650,10140,56820,19830,10870,14050,27670,37310,130300,18020,237110,94990
03/2012,18590,60370,8540,11490,16470,2870,8060,41280,15560,11510,11070,24910,38630,140580,13730,188750,67920
