,liangyou,yinliao,yanjiu,yifu,huazhuang,zhubao,riyong,qiuqi,shu,jiadian,yaopin,wenju,jiaju,tongxun,shiyou,qiche,zhuangxiu
01/2005,3020,2200,5060,20140,2710,2350,5710,980,1940,14770,8990,2700,920,3410,17900,22880,1070
02/2005,6220,4900,11780,39660,5560,4970,11830,1940,4340,27040,17020,5190,1710,7030,33220,41130,1910
03/2005,8970,6810,16080,54430,8200,7310,17330,2840,8370,37650,25810,7820,2530,10310,53290,64520,2950
04/2005,11490,8660,20000,68340,10670,9180,22450,3700,11610,48600,35010,10370,3410,13280,74880,89960,3960
05/2005,14140,10640,24030,83340,13150,11360,27980,4640,14130,63070,44210,13340,4240,16890,97620,114090,5080
06/2005,16760,12660,27990,97100,15600,13210,33410,5520,16460,77660,53080,16220,5160,20140,120960,141130,6240
07/2005,19410,14980,31920,110180,17970,14940,39030,6500,18340,92510,62090,19580,6240,23810,145300,169050,7500
08/2005,22220,17300,35960,123680,20460,16710,44980,7490,20470,104610,71430,23210,7280,27550,172390,195300,8950
09/2005,25420,19830,40930,138370,23220,18750,51170,8550,24650,116220,81100,26800,8370,31430,199870,222020,10270
10/2005,28400,22070,45370,156600,26240,20820,57460,9710,29160,131330,90570,30440,9530,36030,228980,249720,11750
11/2005,31410,24050,49380,175430,29390,22810,63670,10760,33490,143140,100520,33990,10620,40020,257140,278320,13210
12/2005,35580,26540,55950,201820,33510,25520,71930,12150,38450,161300,112200,39060,12310,45430,291790,321540,15110
01/2006,4460,3230,8180,28080,3670,3290,7800,1340,2220,19170,10510,3520,1230,5130,26670,32190,1240
02/2006,7920,5900,14400,47130,6640,6280,14600,2410,5490,32970,19600,7000,2230,9610,54010,59720,2310
03/2006,11070,7970,19190,65260,9810,8840,21370,3580,9840,45990,29320,10860,3380,14290,85470,93900,3870
04/2006,14160,10100,23780,82180,12770,11360,27620,4600,14000,59460,39490,14270,4440,18510,118170,128610,5360
05/2006,17330,12450,28870,100970,15820,14150,34250,5790,16990,78510,49130,17810,5700,23220,153040,162080,6730
06/2006,20440,14840,33560,117980,18780,16370,40830,6890,19500,96170,58510,21550,6960,27300,188200,196470,8220
07/2006,23580,17470,38030,133920,21540,18550,47490,8050,21740,113040,68250,25420,8390,31700,224180,228290,9830
08/2006,26930,20300,42720,150200,24420,20990,54430,9250,24160,127900,78060,29670,9840,36410,262040,262160,11590
09/2006,30720,23000,48140,168890,27700,23620,61480,10460,28620,141660,88260,33830,11450,41060,300140,298600,13320
10/2006,34490,25730,53810,190450,31310,26630,69190,11730,33180,160880,98590,38000,13060,46670,339660,333950,15250
11/2006,38230,27990,58770,213310,34830,29420,76300,12850,37240,175310,109070,42290,14550,51480,378270,371140,17050
12/2006,42770,30390,64280,240870,38660,32450,84220,14130,41860,192170,120390,47510,16310,56240,416660,416540,18910
01/2007,22490,2730,6650,28810,3870,3820,8150,1250,2740,20180,12050,4100,1640,5180,37480,47600,1580
02/2007,52200,6800,17580,60280,8240,8740,17960,2820,5430,40090,23650,8160,3140,10880,69370,88470,3060
03/2007,74330,9750,24230,83010,12240,12190,26380,4100,10160,55670,35590,12260,4650,15810,105990,130050,4850
04/2007,94450,12590,30050,103720,15930,15500,34090,5330,14000,70900,47980,16570,6290,20290,145260,178180,6810
